player_name,equipe,positions,age,player_id,player_country_code,umap_1,umap_2,umap_3,cluster
Jordan Lefort,Angers,DF,30.0,c3e4ecbb,FRA,13.1061,10.138194,0.9169957,3
Andrey Santos,Strasbourg,MF,20.0,dd745366,BRA,13.370273,7.8214016,-0.74345124,0
Valentin Atangana Edoa,Reims,MF,18.0,6b5edd5d,FRA,12.854494,7.670313,-0.91047907,0
Himad Abdelli,Angers,"MF,FW",24.0,7978cbf0,ALG,13.646021,7.342589,-2.1821856,0
Mason Greenwood,Marseille,"FW,MF",22.0,58eee997,ENG,13.595889,7.3321705,-4.153554,0
Zuriko Davitashvili,Saint,"FW,MF",23.0,88b4d2e3,GEO,13.655669,6.9878216,-4.150782,0
Gautier Lloris,Le Havre,DF,29.0,ac89503b,FRA,13.196566,10.563153,0.69609374,3
Matthis Abline,Nantes,FW,21.0,0e46fa2f,FRA,12.853295,7.1250796,-4.8199735,2
Bafodé Diakité,Lille,DF,23.0,1bfb6fef,FRA,14.040946,10.112316,0.7603553,3
Adrien Truffert,Rennes,"DF,MF",22.0,5d0e0a1f,FRA,14.695936,7.817712,-2.2232072,0
Moussa Niakhate,Lyon,DF,28.0,00242715,SEN,13.753438,10.238476,0.4563527,3
Guela Doué,Strasbourg,DF,21.0,b4ef3fb5,CIV,14.292764,9.124218,-0.17672457,0
Alexsandro Ribeiro,Lille,DF,24.0,102c9665,BRA,14.255127,9.761686,0.25037763,3
Cristian Cásseres Jr.,Toulouse,MF,24.0,f86fe8c1,VEN,13.624658,7.5816936,-1.3600194,0
Benjamin André,Lille,MF,33.0,ef9c1c95,FRA,13.706987,7.6088786,-0.5761398,0
Gaëtan Perrin,Auxerre,"MF,FW",28.0,10dd88f9,FRA,14.18937,7.3602557,-3.5372856,0
Junya Ito,Reims,"FW,MF",31.0,dbd3a428,JPN,14.544032,7.3780274,-3.2609713,0
Aron Dønnum,Toulouse,"DF,MF",26.0,10cff752,NOR,14.313781,7.2402487,-2.6963453,0
Kenny Lala,Brest,DF,32.0,770d7eb8,MAD,14.908938,8.016677,-2.2915733,0
Florent Hanin,Angers,DF,34.0,6bfb4303,ALG,15.0416155,8.510461,-1.7252067,0
Pierre Højbjerg,Marseille,MF,28.0,8b04d6c1,DEN,13.938196,8.492134,-0.3699067,0
Mahdi Camara,Brest,"MF,FW",26.0,8577e60a,FRA,12.941444,7.3634105,-1.614714,0
Keito Nakamura,Reims,"FW,MF",24.0,d97af612,JPN,12.822054,7.3845315,-4.168134,2
Jubal,Auxerre,DF,30.0,56ae428b,BRA,12.288178,10.677496,0.8612381,3
Ismaël Doukouré,Strasbourg,"DF,MF",21.0,0512a60a,FRA,13.36112,10.501769,0.60231644,3
Léo Pétrot,Saint,DF,27.0,00638016,FRA,14.5186825,9.1853075,-0.853557,0
Jean-Charles Castelletto,Nantes,"DF,MF",29.0,e0f3a1f6,CMR,12.661011,10.893195,0.7835383,3
Adrien Thomasson,Lens,MF,30.0,c76b7567,FRA,14.024405,7.497889,-1.4106371,0
Luis Henrique,Marseille,"DF,FW",22.0,f36d5624,BRA,13.622368,7.1834164,-3.124606,0
Moses Simon,Nantes,"FW,MF",29.0,5f3eaaf5,NGA,13.951426,6.7883916,-3.794,0
Charlie Cresswell,Toulouse,DF,21.0,4654e5f5,ENG,13.016578,10.613962,0.99126774,3
